gatewayAddress,delegateAddress,delegateStake
-iiTyYDjrKgST3hiYP9KUQ42BM9KxUBnA14yjXZNPbE,1Rh5Y0430bpGLWqdfKnNbHKIvpgq1EaJBWGWg2c1Ewc,2825000000
anlt7hRxdXadd8_EsyBm0rrDBxZ3d1f3FvBZy8uwInw,1SoivONY8YIdwq1QLHPzGk45X6hNFVRRPiNPcTr-XqI,435000000
KMjHKXpM6V4HqLBDFiI270SYxgGQftKAe51lZ34FBtQ,1W1QS1Fe2lEl5mW-SctEU-nUeEdwPmmSqXBVB7Tp8U4,1303750000
zFBm5PN2a8AFoDivZ4cBOmspBiENWBdXz15rEXpGxC4,1XUp3uOFY4le6ynprqAruVCEs7Dpwgemhzby0VRHkhI,435000000
Ie2wEEUDKoU26c7IuckHNn3vMFdNQnMvfPBrFzAb3NA,1YVaCaR-ghA4LFc9MARIyZNqaAJSB_sW7b0JxTdV55E,1521250000
a-s4o4rNJzG_Wcwg0cVRsOYIVkXmGyIgc7NzMyr1H70,1ZI6x_rrE4_SOGyrFZToPzneubJyrX5onB4OWjX5etY,1303750000
47xGmSGVVhiBnlyKORUHwR5lFYgfXtX_xOxUuVn7ZZs,1ZiDC5ns-nvuSEclFxkOwZKDC-Ye2vqQHIG2Lq9qdYE,652500000
Gy6ayY8lfSjUT_MGOk9QAiGq0oOAHs0FAMjQgYQBk-8,1_xRr6lljffPfLgaGShavvjmrw5HEfdIe_5yB6HH75Q,3911250000
pUXOHfUdtSXZAMWJpyMqghYvd1z7OtEM4_7lBljglWw,1aDE2dU1-nzsntWJNKh-8jCPhoqQqh3I7ILPpzhekDE,435000000
hLRzRWWiLMHaTKLJtL6vhzE-emNqHWLjdJB5C61BzQc,1bCwZvmtn60n2KyK_qKUxyXK6J7XzACNIhmgiQtRvs4,3042500000
7DYE7_AtHBW9T98vUuZVkL6mW_ZX8t_GiIGR88Vi25I,1e3XWmCfrMgPvPt_di6LD9f3kbLaWdM05raJ2IqrQPo,1716250000
S4gDRJrL1l7Z_C64DjY4G4khxTiQF_HCDh5zllDkO6I,1gNb6mBKqGEJx2aOSvTGUOMoHZh9YzrS-ffaqyr-xLg,2390000000
ioWWZV97UsAfxhSUey-AMpMIb2URJZiy9wofqhaoy-o,1gd5fUVEcCqhDibQv8JKJ9Q9qZReLcJbvh03c17ZzZ0,4080000000
KPnRrgZ2WLA1OiDj5UcqvLeT1BNGCtu6lRiswHMfRis,1hIF4NbWh3jtQxkVsOilEG5xxzNJq5Gp8Co6O-VTUVA,435000000
_YGfxAlvCH2f5yRtdhy4hseGCszI52LHrRE2LlJcvv4,1hLYi1240dZ7WS39I_NNjVQv5ntI8iJhghvNhkQo6DE,652500000
NrE-g7b_WCSTLNRwJXouBsPWxwXFtF4-lyg5a8Enq8w,1jxg_ezDhi0NKAKDyz6VqyWaNpnruXItqTss8p5Lffc,2172500000
