delegateAddress,gatewayAddress,delegateStake
0XY-oIcKSlcZTUa9_tZnoc6wOfu5aE_VtaVHvuv0-mY,xyH8-v62Hs-Wvli8WF1OZ1DeuAg6YviFPE2CIlBUhjw,1086250000
0YURIZ8fXGzzx0VMYa7L3waV_YQs6JgQ5GKwiRUyRZM,arn_Hkv7mwX1HALJktsiaYg_bXc5aBeddicvVf6pla4,2651250000
0ag5s0RwMEgO2O7Zm0h4Gn3pmK3jqX8F9w7A7Aj7Pbo,TlZUBXVaCY5mvVX4IUjFR3FcMhkmnTAWikzuWlAc5_M,2607500000
0cQJ5Hd4oCaL57CWP-Pqe5_e0D4_ZDWuxKBgR9ke1SI,O94QpUJ4oZ8gXlAJMV_xcigO9VyD3Kgf_wI7hTo6SGM,8321250000
0c_hm5tbdCj6JE1s_wZYYzsbCbb2o6fPmpWkZUe_2Bo,1GRKSKvsHj-9XPzb-CejeCIAQ511Xz97QgX598sB9FY,870000000
0dgkzvTwE1163jvVsMRdp3cuV9vzPh0_CgyGuOeydtw,fD5A1ki_bDGt-FjVvOPHPZ1ylDAQo4zCp9LIOD9VCWk,1738750000
0el1B_PMyobo0wqeJ91VpZRFx0heyWQssBkt1WwZRl4,N64vIXjphKRHrciqRafXleT_dJ_PwgYVa-_kdWy1Xpk,2172500000
0fguAr9qx_wXOvBmalr5Bv6jdpw5_fxSANoxiURYIgU,sgwcpaMBBy1St_I-sczkueEREOuDTt74JAOBE4mHFCw,5431250000
0g65TFYkTXDWMMGNdrnO6tmzFiyG4aImKC4suiWgVmQ,-RlCrWmyn9OaJ86tsr5qhmFRc0h5ovT5xjKQwySGZy0,1303750000
0ggPdWanBgyAFRw4enTBRo5ryk811l2pBc3Enuzkpuk,SCOKnowXkWX27XM84Tk7gEt7mF24Qfdh5J0J4KKPNLY,1086250000
0joyrbrc_QG4eHk1u6eFSEDeNLFb6PAT9xj3ehfElQk,ciQ7RQ8QPPv3bGoMfN2SlYIr0n8ZDLZ7_aDW-hM9pLQ,435000000
0k6At52zuPPbb3K142PptcxroSzYlrrxXlrL--sEkrI,GY0MysWAv83ANosil942egXtxMxxlAPEiI1LFF5hxjA,1521250000
0lPvYypVo1gVzmFTqnh3HVZDcNGRsB_--C9OAeKZYu4,lPNnW6NKj2rhgmR80_hVdWlnde6hne4PFUmdAuwVN0U,7235000000
0lpjaTisyU2IY46pAxF7TLrJjr7ABZ9gaxldVCl67cU,9my2TT05SwQrk8TCXmASpr3nh_DuEIKh5GicUfn4d-Q,1303750000
